Mg,Al,Ti,V,Mn,Fe,Cu,Zn,Y,Nb,La,Ce,Zr,Ta
0.000,627.647,126.837,0.000,0.000,2203.847,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,428.652,0.000,0.000,0.000,823.791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13908.634,80195.689,11739.627,0.000,10002.795,85728.886,0.000,0.000,0.000,473.662,0.000,0.000,0.000,393.512
1084.185,5024.213,812.628,0.000,859.922,0.000,0.000,0.000,0.000,47.392,0.000,0.000,0.000,0.000
0.000,3579.464,1924.765,0.000,612.992,80142.410,0.000,0.000,0.000,136.565,0.000,17.874,0.000,0.000
412.814,4854.820,438.733,0.000,430.773,12325.963,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1254.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1122.421,209.763,0.000,95.417,8130.479,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,3566.749,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
517.497,5661.088,728.694,0.000,516.115,13280.269,0.000,0.000,0.000,33.536,0.000,0.000,0.000,0.000
0.000,914.063,0.000,0.000,0.000,2119.256,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,306.542,86.858,0.000,0.000,1703.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,295.461,0.000,0.000,0.000,2192.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1282.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,280.989,0.000,0.000,0.000,222.948,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,734.591,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,887.584,0.000,0.000,116.200,3558.438,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,164.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1229.268,240.152,0.000,97.701,5073.624,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
587.845,5228.409,2575.166,0.000,993.518,87737.467,0.000,0.000,0.000,268.981,39.394,25.360,0.000,0.000
0.000,5569.414,92.232,0.000,84.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
693.924,5917.068,261.845,0.000,379.613,13359.268,0.000,0.000,0.000,19.093,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,352.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7159.409,45353.297,5247.327,0.000,3385.939,83623.451,0.000,0.000,0.000,178.362,0.000,0.000,0.000,156.805
0.000,0.000,0.000,0.000,0.000,165.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,627.534,0.000,0.000,0.000,1403.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
15607.242,138469.832,4991.204,0.000,4360.717,86066.608,0.000,0.000,0.000,171.972,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17.789,0.000,0.000,0.000,0.000
0.000,306.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,321.474,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1452.517,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,165.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,975.323,0.000,0.000,0.000,2056.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,294.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,369.858,0.000,0.000,0.000,1938.757,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,728.447,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,161.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,211.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1829.892,196.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,5456.292,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2459.531,113.336,0.000,182.853,5049.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,124.765,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1349.591,141.976,0.000,0.000,4391.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,247.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
513.310,2734.188,276.677,0.000,179.427,5473.508,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,9309.614,1513.710,0.000,990.930,23826.261,0.000,0.000,0.000,29.526,0.000,0.000,0.000,0.000
1435.305,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
604.594,4534.909,577.866,0.000,291.668,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,11260.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
868.118,2917.241,451.992,0.000,230.117,6494.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2868.494,25105.425,3038.344,0.000,2122.714,49548.212,0.000,0.000,0.000,68.523,0.000,0.000,0.000,79.292
0.000,0.000,0.000,0.000,0.000,372.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,337.182,0.000,0.000,0.000,1880.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,279.406,0.000,0.000,0.000,2455.785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,927.653,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,285.601,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,206.945,0.000,206.973,9610.155,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,3909.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1229.967,0.000,0.000,0.000,3056.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,464.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,866.667,0.000,0.000,102.154,2583.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,267.986,0.000,0.000,0.000,1573.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,87.317,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1062.910,4712.040,0.000,0.000,0.000,4525.978,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,611.479,0.000,0.000,0.000,1546.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,413.841,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,4285.809,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,850.612,119.234,0.000,0.000,2749.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2899.490,279.934,0.000,227.123,7731.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,637.484,95.182,0.000,0.000,1944.781,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,158.818,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,414.758,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,851.969,0.000,0.000,0.000,2868.746,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1000.197,0.000,0.000,0.000,2868.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,87.776,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,278.562,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,4036.001,345.079,0.000,278.701,9421.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,692.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,272.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,284.549,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,326.215,0.000,0.000,0.000,1306.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2396.031,180.643,0.000,131.261,6534.614,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,514.582,117.727,0.000,0.000,1574.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,267.647,0.000,0.000,0.000,1241.198,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1115.185,89.742,0.000,0.000,2345.692,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,420.285,0.000,0.000,0.000,1945.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,2288.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,278.386,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
6600.317,49637.543,6046.328,0.000,3771.669,63964.628,0.000,0.000,0.000,189.589,0.000,0.000,0.000,121.487
0.000,521.253,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,442.415,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,592.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1108.622,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,741.229,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,468.225,0.000,0.000,0.000,713.623,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,353.238,0.000,0.000,0.000,1475.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
451.616,8832.161,635.367,0.000,450.921,16031.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
415.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2100.315,22339.939,3211.803,0.000,1956.724,37429.310,0.000,0.000,0.000,79.363,0.000,0.000,0.000,153.888
0.000,2521.739,201.353,0.000,145.244,8619.518,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,937.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
453.570,6510.796,969.088,0.000,695.885,16933.213,0.000,0.000,0.000,20.006,0.000,0.000,0.000,0.000
0.000,2398.476,134.177,0.000,99.223,4414.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,7490.867,329.239,0.000,418.693,15336.340,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1164.024,11035.557,1314.080,0.000,857.967,30575.741,0.000,0.000,0.000,57.629,0.000,0.000,0.000,0.000
0.000,946.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,2578.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,453.187,0.000,0.000,0.000,896.420,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1165.520,0.000,0.000,0.000,3073.494,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,479.646,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,1129.364,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
616.039,2708.614,319.867,0.000,272.268,8139.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,167.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,2193.397,82.140,0.000,0.000,6808.566,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
